model,rank,feature,importance,importance_ratio
human,68,f134,7.0,0.0009065009065009065
human,69,f82,6.0,0.000777000777000777
human,70,f32,5.0,0.0006475006475006475
human,71,f62,5.0,0.0006475006475006475
human,72,f80,5.0,0.0006475006475006475
human,73,f122,5.0,0.0006475006475006475
human,74,f113,4.0,0.000518000518000518
human,75,f131,4.0,0.000518000518000518
human,76,f35,3.0,0.0003885003885003885
human,77,f88,3.0,0.0003885003885003885
human,78,f101,3.0,0.0003885003885003885
human,79,f120,3.0,0.0003885003885003885
human,80,f129,3.0,0.0003885003885003885
human,81,f156,3.0,0.0003885003885003885
human,82,f163,3.0,0.0003885003885003885
human,83,f12,2.0,0.000259000259000259
human,84,f16,2.0,0.000259000259000259
human,85,f43,2.0,0.000259000259000259
human,86,f64,2.0,0.000259000259000259
human,87,f72,2.0,0.000259000259000259
human,88,f161,2.0,0.000259000259000259
human,89,f29,1.0,0.0001295001295001295
human,90,f65,1.0,0.0001295001295001295
human,91,f111,1.0,0.0001295001295001295
human,92,f140,1.0,0.0001295001295001295
human,93,f143,1.0,0.0001295001295001295
human,94,f158,1.0,0.0001295001295001295
seer,1,f15,190.0,0.06759160441124155
seer,2,f0,187.0,0.06652436855211669
seer,3,f5,148.0,0.05265030238349342
seer,4,f150,125.0,0.04446816079686944
seer,5,f19,123.0,0.04375667022411953
seer,6,f40,121.0,0.04304517965136962
seer,7,f14,115.0,0.040910707933119884
seer,8,f13,100.0,0.03557452863749555
seer,9,f166,99.0,0.035218783351120594
seer,10,f22,64.0,0.022767698327997153
seer,11,f94,64.0,0.022767698327997153
seer,12,f55,62.0,0.022056207755247245
seer,13,f18,60.0,0.021344717182497332
seer,14,f52,60.0,0.021344717182497332
seer,15,f54,59.0,0.020988971896122376
seer,16,f112,59.0,0.020988971896122376
seer,17,f154,56.0,0.019921736036997508
seer,18,f124,51.0,0.01814300960512273
seer,19,f44,49.0,0.017431519032372823
seer,20,f1,46.0,0.016364283173247954
seer,21,f130,46.0,0.016364283173247954
seer,22,f46,45.0,0.016008537886873
seer,23,f26,41.0,0.014585556741373178
seer,24,f8,38.0,0.01351832088224831
seer,25,f165,36.0,0.012806830309498399
seer,26,f149,31.0,0.011028103877623622
seer,27,f164,31.0,0.011028103877623622
seer,28,f109,30.0,0.010672358591248666
seer,29,f118,29.0,0.01031661330487371
seer,30,f127,29.0,0.01031661330487371
seer,31,f28,27.0,0.0096051227321238
seer,32,f108,26.0,0.009249377445748844
seer,33,f100,25.0,0.008893632159373888
seer,34,f106,25.0,0.008893632159373888
seer,35,f153,23.0,0.008182141586623977
seer,36,f34,22.0,0.007826396300249021
seer,37,f36,22.0,0.007826396300249021
seer,38,f7,21.0,0.007470651013874066
seer,39,f70,21.0,0.007470651013874066
seer,40,f162,21.0,0.007470651013874066
seer,41,f6,17.0,0.006047669868374244
seer,42,f9,17.0,0.006047669868374244
seer,43,f50,17.0,0.006047669868374244
seer,44,f98,17.0,0.006047669868374244
seer,45,f37,16.0,0.005691924581999288
seer,46,f116,16.0,0.005691924581999288
seer,47,f152,16.0,0.005691924581999288
seer,48,f21,15.0,0.005336179295624333
seer,49,f47,14.0,0.004980434009249377
seer,50,f76,14.0,0.004980434009249377
seer,51,f126,14.0,0.004980434009249377
seer,52,f159,14.0,0.004980434009249377
seer,53,f58,13.0,0.004624688722874422
seer,54,f122,12.0,0.004268943436499467
seer,55,f136,11.0,0.003913198150124511
seer,56,f144,11.0,0.003913198150124511
seer,57,f145,11.0,0.003913198150124511
seer,58,f73,10.0,0.0035574528637495554
seer,59,f160,10.0,0.0035574528637495554
seer,60,f20,9.0,0.0032017075773745998
seer,61,f33,9.0,0.0032017075773745998
seer,62,f41,9.0,0.0032017075773745998
seer,63,f57,8.0,0.002845962290999644
seer,64,f80,8.0,0.002845962290999644
seer,65,f142,8.0,0.002845962290999644
seer,66,f163,8.0,0.002845962290999644
seer,67,f53,7.0,0.0024902170046246885
seer,68,f119,7.0,0.0024902170046246885
seer,69,f131,7.0,0.0024902170046246885
seer,70,f51,5.0,0.0017787264318747777
seer,71,f95,5.0,0.0017787264318747777
seer,72,f72,4.0,0.001422981145499822
seer,73,f101,4.0,0.001422981145499822
seer,74,f129,4.0,0.001422981145499822
seer,75,f62,3.0,0.0010672358591248667
seer,76,f82,3.0,0.0010672358591248667
seer,77,f134,3.0,0.0010672358591248667
seer,78,f88,2.0,0.000711490572749911
seer,79,f23,1.0,0.0003557452863749555
seer,80,f32,1.0,0.0003557452863749555
seer,81,f35,1.0,0.0003557452863749555
seer,82,f64,1.0,0.0003557452863749555
seer,83,f102,1.0,0.0003557452863749555
seer,84,f111,1.0,0.0003557452863749555
werewolf,1,f0,114.0,0.05229357798165138
werewolf,2,f15,109.0,0.05
werewolf,3,f150,105.0,0.0481651376146789
werewolf,4,f166,69.0,0.03165137614678899
werewolf,5,f13,68.0,0.031192660550458717
werewolf,6,f14,68.0,0.031192660550458717
werewolf,7,f5,67.0,0.030733944954128442
werewolf,8,f19,51.0,0.023394495412844038
werewolf,9,f40,50.0,0.022935779816513763
werewolf,10,f112,45.0,0.020642201834862386
werewolf,11,f22,40.0,0.01834862385321101
werewolf,12,f18,39.0,0.017889908256880735
werewolf,13,f8,38.0,0.01743119266055046
werewolf,14,f26,37.0,0.016972477064220184
werewolf,15,f55,37.0,0.016972477064220184
werewolf,16,f94,30.0,0.013761467889908258
werewolf,17,f100,30.0,0.013761467889908258
werewolf,18,f7,29.0,0.013302752293577982
werewolf,19,f124,27.0,0.012385321100917432
werewolf,20,f149,27.0,0.012385321100917432
werewolf,21,f44,26.0,0.011926605504587157
werewolf,22,f54,26.0,0.011926605504587157
werewolf,23,f1,24.0,0.011009174311926606
werewolf,24,f28,24.0,0.011009174311926606
werewolf,25,f37,23.0,0.01055045871559633
werewolf,26,f52,23.0,0.01055045871559633
werewolf,27,f46,22.0,0.010091743119266056
werewolf,28,f154,22.0,0.010091743119266056
werewolf,29,f9,21.0,0.00963302752293578
werewolf,30,f163,21.0,0.00963302752293578
werewolf,31,f130,20.0,0.009174311926605505
werewolf,32,f6,19.0,0.00871559633027523
werewolf,33,f34,19.0,0.00871559633027523
werewolf,34,f120,19.0,0.00871559633027523
werewolf,35,f109,18.0,0.008256880733944955
werewolf,36,f144,18.0,0.008256880733944955
werewolf,37,f153,18.0,0.008256880733944955
werewolf,38,f70,17.0,0.007798165137614679
werewolf,39,f122,17.0,0.007798165137614679
werewolf,40,f127,17.0,0.007798165137614679
werewolf,41,f152,16.0,0.007339449541284404
werewolf,42,f38,15.0,0.006880733944954129
werewolf,43,f50,15.0,0.006880733944954129
werewolf,44,f82,15.0,0.006880733944954129
werewolf,45,f118,15.0,0.006880733944954129
werewolf,46,f106,14.0,0.006422018348623854
werewolf,47,f116,14.0,0.006422018348623854
werewolf,48,f33,13.0,0.005963302752293578
werewolf,49,f57,13.0,0.005963302752293578
werewolf,50,f131,13.0,0.005963302752293578
werewolf,51,f142,13.0,0.005963302752293578
werewolf,52,f162,13.0,0.005963302752293578
werewolf,53,f16,12.0,0.005504587155963303
werewolf,54,f36,12.0,0.005504587155963303
werewolf,55,f51,12.0,0.005504587155963303
werewolf,56,f123,12.0,0.005504587155963303
werewolf,57,f161,12.0,0.005504587155963303
werewolf,58,f25,11.0,0.005045871559633028
werewolf,59,f72,11.0,0.005045871559633028
werewolf,60,f73,11.0,0.005045871559633028
werewolf,61,f76,11.0,0.005045871559633028
werewolf,62,f95,11.0,0.005045871559633028
werewolf,63,f102,11.0,0.005045871559633028
werewolf,64,f156,11.0,0.005045871559633028
werewolf,65,f165,11.0,0.005045871559633028
werewolf,66,f23,10.0,0.0045871559633027525
werewolf,67,f35,10.0,0.0045871559633027525
werewolf,68,f69,10.0,0.0045871559633027525
werewolf,69,f119,10.0,0.0045871559633027525
werewolf,70,f129,10.0,0.0045871559633027525
werewolf,71,f155,10.0,0.0045871559633027525
werewolf,72,f164,10.0,0.0045871559633027525
werewolf,73,f43,9.0,0.004128440366972477
werewolf,74,f53,9.0,0.004128440366972477
werewolf,75,f58,9.0,0.004128440366972477
werewolf,76,f108,9.0,0.004128440366972477
werewolf,77,f128,9.0,0.004128440366972477
werewolf,78,f2,8.0,0.003669724770642202
werewolf,79,f41,8.0,0.003669724770642202
werewolf,80,f47,8.0,0.003669724770642202
werewolf,81,f48,8.0,0.003669724770642202
werewolf,82,f64,8.0,0.003669724770642202
werewolf,83,f65,8.0,0.003669724770642202
werewolf,84,f71,8.0,0.003669724770642202
werewolf,85,f88,8.0,0.003669724770642202
werewolf,86,f98,8.0,0.003669724770642202
werewolf,87,f101,8.0,0.003669724770642202
werewolf,88,f136,8.0,0.003669724770642202
werewolf,89,f159,8.0,0.003669724770642202
werewolf,90,f160,8.0,0.003669724770642202
werewolf,91,f143,7.0,0.003211009174311927
werewolf,92,f21,6.0,0.0027522935779816515
werewolf,93,f32,6.0,0.0027522935779816515
werewolf,94,f56,6.0,0.0027522935779816515
werewolf,95,f91,6.0,0.0027522935779816515
werewolf,96,f111,6.0,0.0027522935779816515
werewolf,97,f134,6.0,0.0027522935779816515
werewolf,98,f145,6.0,0.0027522935779816515
werewolf,99,f39,5.0,0.0022935779816513763
werewolf,100,f62,5.0,0.0022935779816513763
werewolf,101,f80,5.0,0.0022935779816513763
werewolf,102,f83,5.0,0.0022935779816513763
werewolf,103,f115,5.0,0.0022935779816513763
werewolf,104,f126,5.0,0.0022935779816513763
werewolf,105,f12,4.0,0.001834862385321101
werewolf,106,f30,4.0,0.001834862385321101
werewolf,107,f90,4.0,0.001834862385321101
werewolf,108,f133,4.0,0.001834862385321101
werewolf,109,f141,4.0,0.001834862385321101
werewolf,110,f24,3.0,0.0013761467889908258
werewolf,111,f59,3.0,0.0013761467889908258
werewolf,112,f137,3.0,0.0013761467889908258
werewolf,113,f140,3.0,0.0013761467889908258
werewolf,114,f158,3.0,0.0013761467889908258
werewolf,115,f29,2.0,0.0009174311926605505
werewolf,116,f68,2.0,0.0009174311926605505
werewolf,117,f75,2.0,0.0009174311926605505
werewolf,118,f77,2.0,0.0009174311926605505
werewolf,119,f86,2.0,0.0009174311926605505
werewolf,120,f93,2.0,0.0009174311926605505
werewolf,121,f97,2.0,0.0009174311926605505
werewolf,122,f105,2.0,0.0009174311926605505
werewolf,123,f107,2.0,0.0009174311926605505
werewolf,124,f113,2.0,0.0009174311926605505
werewolf,125,f125,2.0,0.0009174311926605505
werewolf,126,f147,2.0,0.0009174311926605505
werewolf,127,f151,2.0,0.0009174311926605505
werewolf,128,f20,1.0,0.00045871559633027525
werewolf,129,f42,1.0,0.00045871559633027525
werewolf,130,f61,1.0,0.00045871559633027525
werewolf,131,f66,1.0,0.00045871559633027525
werewolf,132,f84,1.0,0.00045871559633027525
werewolf,133,f89,1.0,0.00045871559633027525
werewolf,134,f104,1.0,0.00045871559633027525
werewolf,135,f132,1.0,0.00045871559633027525
werewolf,136,f138,1.0,0.00045871559633027525
werewolf,137,f157,1.0,0.00045871559633027525
