source_file,dataset_tag,agent_name,role,fold
taged_1746432378_mille_ai168wolf_osawalab_CamelliaDragons_kanolab.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,5
taged_1746432378_mille_ai168wolf_osawalab_CamelliaDragons_kanolab.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,5
taged_1746432378_mille_ai168wolf_osawalab_CamelliaDragons_kanolab.log,all_feature_table_2025sp17_with_talks,kanolab1,WEREWOLF,5
taged_1746433451_kanolab_ai168wolf_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,mille1,VILLAGER,3
taged_1746433451_kanolab_ai168wolf_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,3
taged_1746433451_kanolab_ai168wolf_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,ai168wolf1,WEREWOLF,3
taged_1746433451_kanolab_ai168wolf_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,sunamelli1,POSSESSED,3
taged_1746433451_kanolab_ai168wolf_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,osawalab1,SEER,3
taged_1746438237_kanolab_CanisLupus_sunamelli_mille_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,mille1,POSSESSED,2
taged_1746438237_kanolab_CanisLupus_sunamelli_mille_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,SEER,2
taged_1746438237_kanolab_CanisLupus_sunamelli_mille_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,2
taged_1746438237_kanolab_CanisLupus_sunamelli_mille_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,2
taged_1746438237_kanolab_CanisLupus_sunamelli_mille_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,2
taged_1746438728_CanisLupus_kanolab_sunamelli_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,osawalab1,POSSESSED,5
taged_1746438728_CanisLupus_kanolab_sunamelli_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,ai168wolf1,SEER,5
taged_1746438728_CanisLupus_kanolab_sunamelli_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,5
taged_1746438728_CanisLupus_kanolab_sunamelli_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,5
taged_1746438728_CanisLupus_kanolab_sunamelli_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,5
taged_1746439413_mille_CamelliaDragons_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,1
taged_1746439413_mille_CamelliaDragons_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,1
taged_1746439413_mille_CamelliaDragons_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,1
taged_1746439413_mille_CamelliaDragons_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,mille1,WEREWOLF,1
taged_1746439413_mille_CamelliaDragons_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,POSSESSED,1
taged_1746440342_GAIT_sunamelli_osawalab_ai168wolf_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,4
taged_1746440342_GAIT_sunamelli_osawalab_ai168wolf_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,osawalab1,POSSESSED,4
taged_1746440342_GAIT_sunamelli_osawalab_ai168wolf_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,ai168wolf1,SEER,4
taged_1746440342_GAIT_sunamelli_osawalab_ai168wolf_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,4
taged_1746440342_GAIT_sunamelli_osawalab_ai168wolf_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,GAIT1,VILLAGER,4
taged_1746440914_CamelliaDragons_kanolab_mille_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,CanisLupus1,POSSESSED,5
taged_1746440914_CamelliaDragons_kanolab_mille_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,SEER,5
taged_1746440914_CamelliaDragons_kanolab_mille_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,5
taged_1746440914_CamelliaDragons_kanolab_mille_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,mille1,VILLAGER,5
taged_1746440914_CamelliaDragons_kanolab_mille_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,5
taged_1746441587_kanolab_CanisLupus_CamelliaDragons_GAIT_mille.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,3
taged_1746441587_kanolab_CanisLupus_CamelliaDragons_GAIT_mille.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,3
taged_1746441587_kanolab_CanisLupus_CamelliaDragons_GAIT_mille.log,all_feature_table_2025sp17_with_talks,GAIT1,WEREWOLF,3
taged_1746441587_kanolab_CanisLupus_CamelliaDragons_GAIT_mille.log,all_feature_table_2025sp17_with_talks,mille1,POSSESSED,3
taged_1746441587_kanolab_CanisLupus_CamelliaDragons_GAIT_mille.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,3
taged_1746442087_CanisLupus_ai168wolf_kanolab_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,SEER,1
taged_1746442087_CanisLupus_ai168wolf_kanolab_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,ai168wolf1,VILLAGER,1
taged_1746442087_CanisLupus_ai168wolf_kanolab_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,1
taged_1746442087_CanisLupus_ai168wolf_kanolab_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,1
taged_1746442087_CanisLupus_ai168wolf_kanolab_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,POSSESSED,1
taged_1746453871_CanisLupus_kanolab_sunamelli_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,kanolab1,WEREWOLF,2
taged_1746453871_CanisLupus_kanolab_sunamelli_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,POSSESSED,2
taged_1746453871_CanisLupus_kanolab_sunamelli_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,osawalab1,SEER,2
taged_1746453871_CanisLupus_kanolab_sunamelli_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,2
taged_1746453871_CanisLupus_kanolab_sunamelli_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,2
taged_1746454668_GAIT_CamelliaDragons_mille_ai168wolf_kanolab.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,SEER,3
taged_1746454668_GAIT_CamelliaDragons_mille_ai168wolf_kanolab.log,all_feature_table_2025sp17_with_talks,mille1,VILLAGER,3
taged_1746454668_GAIT_CamelliaDragons_mille_ai168wolf_kanolab.log,all_feature_table_2025sp17_with_talks,ai168wolf1,VILLAGER,3
taged_1746454668_GAIT_CamelliaDragons_mille_ai168wolf_kanolab.log,all_feature_table_2025sp17_with_talks,kanolab1,WEREWOLF,3
taged_1746454668_GAIT_CamelliaDragons_mille_ai168wolf_kanolab.log,all_feature_table_2025sp17_with_talks,GAIT1,POSSESSED,3
taged_1746455020_CamelliaDragons_CanisLupus_osawalab_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,osawalab1,POSSESSED,5
taged_1746455020_CamelliaDragons_CanisLupus_osawalab_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,5
taged_1746455020_CamelliaDragons_CanisLupus_osawalab_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,5
taged_1746455020_CamelliaDragons_CanisLupus_osawalab_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,5
taged_1746455020_CamelliaDragons_CanisLupus_osawalab_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,CanisLupus1,WEREWOLF,5
taged_1746459149_kanolab_CanisLupus_mille_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,3
taged_1746459149_kanolab_CanisLupus_mille_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,3
taged_1746459149_kanolab_CanisLupus_mille_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,mille1,WEREWOLF,3
taged_1746459149_kanolab_CanisLupus_mille_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,osawalab1,POSSESSED,3
taged_1746459149_kanolab_CanisLupus_mille_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,sunamelli1,SEER,3
taged_1746460204_ai168wolf_CanisLupus_sunamelli_kanolab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,5
taged_1746460204_ai168wolf_CanisLupus_sunamelli_kanolab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,5
taged_1746460204_ai168wolf_CanisLupus_sunamelli_kanolab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,ai168wolf1,VILLAGER,5
taged_1746460204_ai168wolf_CanisLupus_sunamelli_kanolab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,WEREWOLF,5
taged_1746460204_ai168wolf_CanisLupus_sunamelli_kanolab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,POSSESSED,5
taged_1746461224_mille_kanolab_osawalab_CamelliaDragons_CanisLupus.log,all_feature_table_2025sp17_with_talks,mille1,POSSESSED,2
taged_1746461224_mille_kanolab_osawalab_CamelliaDragons_CanisLupus.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,2
taged_1746461224_mille_kanolab_osawalab_CamelliaDragons_CanisLupus.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,2
taged_1746461224_mille_kanolab_osawalab_CamelliaDragons_CanisLupus.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,2
taged_1746461224_mille_kanolab_osawalab_CamelliaDragons_CanisLupus.log,all_feature_table_2025sp17_with_talks,CanisLupus1,WEREWOLF,2
taged_1746461792_CanisLupus_mille_GAIT_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,mille1,VILLAGER,2
taged_1746461792_CanisLupus_mille_GAIT_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,GAIT1,VILLAGER,2
taged_1746461792_CanisLupus_mille_GAIT_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,osawalab1,WEREWOLF,2
taged_1746461792_CanisLupus_mille_GAIT_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,POSSESSED,2
taged_1746461792_CanisLupus_mille_GAIT_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,SEER,2
taged_1746462524_osawalab_CanisLupus_kanolab_ai168wolf_sunamelli.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,2
taged_1746462524_osawalab_CanisLupus_kanolab_ai168wolf_sunamelli.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,2
taged_1746462524_osawalab_CanisLupus_kanolab_ai168wolf_sunamelli.log,all_feature_table_2025sp17_with_talks,kanolab1,WEREWOLF,2
taged_1746462524_osawalab_CanisLupus_kanolab_ai168wolf_sunamelli.log,all_feature_table_2025sp17_with_talks,ai168wolf1,POSSESSED,2
taged_1746462524_osawalab_CanisLupus_kanolab_ai168wolf_sunamelli.log,all_feature_table_2025sp17_with_talks,sunamelli1,SEER,2
taged_1746463069_GAIT_ai168wolf_CanisLupus_CamelliaDragons_osawalab.log,all_feature_table_2025sp17_with_talks,GAIT1,WEREWOLF,5
taged_1746463069_GAIT_ai168wolf_CanisLupus_CamelliaDragons_osawalab.log,all_feature_table_2025sp17_with_talks,ai168wolf1,POSSESSED,5
taged_1746463069_GAIT_ai168wolf_CanisLupus_CamelliaDragons_osawalab.log,all_feature_table_2025sp17_with_talks,CanisLupus1,SEER,5
taged_1746463069_GAIT_ai168wolf_CanisLupus_CamelliaDragons_osawalab.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,5
taged_1746463069_GAIT_ai168wolf_CanisLupus_CamelliaDragons_osawalab.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,5
taged_1746464608_sunamelli_CamelliaDragons_osawalab_kanolab_GAIT.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,1
taged_1746464608_sunamelli_CamelliaDragons_osawalab_kanolab_GAIT.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,1
taged_1746464608_sunamelli_CamelliaDragons_osawalab_kanolab_GAIT.log,all_feature_table_2025sp17_with_talks,osawalab1,WEREWOLF,1
taged_1746464608_sunamelli_CamelliaDragons_osawalab_kanolab_GAIT.log,all_feature_table_2025sp17_with_talks,kanolab1,POSSESSED,1
taged_1746464608_sunamelli_CamelliaDragons_osawalab_kanolab_GAIT.log,all_feature_table_2025sp17_with_talks,GAIT1,SEER,1
taged_1746465664_mille_sunamelli_CanisLupus_GAIT_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,mille1,WEREWOLF,3
taged_1746465664_mille_sunamelli_CanisLupus_GAIT_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,POSSESSED,3
taged_1746465664_mille_sunamelli_CanisLupus_GAIT_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,SEER,3
taged_1746465664_mille_sunamelli_CanisLupus_GAIT_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,GAIT1,VILLAGER,3
taged_1746465664_mille_sunamelli_CanisLupus_GAIT_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,3
taged_1746466331_kanolab_CanisLupus_ai168wolf_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,kanolab1,POSSESSED,4
taged_1746466331_kanolab_CanisLupus_ai168wolf_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,SEER,4
taged_1746466331_kanolab_CanisLupus_ai168wolf_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,ai168wolf1,VILLAGER,4
taged_1746466331_kanolab_CanisLupus_ai168wolf_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,4
taged_1746466331_kanolab_CanisLupus_ai168wolf_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,WEREWOLF,4
taged_1746467574_ai168wolf_CamelliaDragons_CanisLupus_osawalab_kanolab.log,all_feature_table_2025sp17_with_talks,osawalab1,POSSESSED,4
taged_1746467574_ai168wolf_CamelliaDragons_CanisLupus_osawalab_kanolab.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,4
taged_1746467574_ai168wolf_CamelliaDragons_CanisLupus_osawalab_kanolab.log,all_feature_table_2025sp17_with_talks,ai168wolf1,VILLAGER,4
taged_1746467574_ai168wolf_CamelliaDragons_CanisLupus_osawalab_kanolab.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,4
taged_1746467574_ai168wolf_CamelliaDragons_CanisLupus_osawalab_kanolab.log,all_feature_table_2025sp17_with_talks,CanisLupus1,WEREWOLF,4
taged_1746469395_kanolab_osawalab_sunamelli_GAIT_ai168wolf.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,5
taged_1746469395_kanolab_osawalab_sunamelli_GAIT_ai168wolf.log,all_feature_table_2025sp17_with_talks,GAIT1,VILLAGER,5
taged_1746469395_kanolab_osawalab_sunamelli_GAIT_ai168wolf.log,all_feature_table_2025sp17_with_talks,ai168wolf1,WEREWOLF,5
taged_1746469395_kanolab_osawalab_sunamelli_GAIT_ai168wolf.log,all_feature_table_2025sp17_with_talks,kanolab1,POSSESSED,5
taged_1746469395_kanolab_osawalab_sunamelli_GAIT_ai168wolf.log,all_feature_table_2025sp17_with_talks,osawalab1,SEER,5
taged_1746470056_sunamelli_GAIT_mille_osawalab_kanolab.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,1
taged_1746470056_sunamelli_GAIT_mille_osawalab_kanolab.log,all_feature_table_2025sp17_with_talks,GAIT1,POSSESSED,1
taged_1746470056_sunamelli_GAIT_mille_osawalab_kanolab.log,all_feature_table_2025sp17_with_talks,mille1,SEER,1
taged_1746470056_sunamelli_GAIT_mille_osawalab_kanolab.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,1
taged_1746470056_sunamelli_GAIT_mille_osawalab_kanolab.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,1
taged_1746471017_kanolab_ai168wolf_CamelliaDragons_sunamelli_GAIT.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,4
taged_1746471017_kanolab_ai168wolf_CamelliaDragons_sunamelli_GAIT.log,all_feature_table_2025sp17_with_talks,ai168wolf1,VILLAGER,4
taged_1746471017_kanolab_ai168wolf_CamelliaDragons_sunamelli_GAIT.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,WEREWOLF,4
taged_1746471017_kanolab_ai168wolf_CamelliaDragons_sunamelli_GAIT.log,all_feature_table_2025sp17_with_talks,sunamelli1,POSSESSED,4
taged_1746471017_kanolab_ai168wolf_CamelliaDragons_sunamelli_GAIT.log,all_feature_table_2025sp17_with_talks,GAIT1,SEER,4
taged_1746471375_kanolab_GAIT_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,GAIT1,VILLAGER,2
taged_1746471375_kanolab_GAIT_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,2
taged_1746471375_kanolab_GAIT_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,osawalab1,WEREWOLF,2
taged_1746471375_kanolab_GAIT_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,mille1,POSSESSED,2
taged_1746471375_kanolab_GAIT_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,2
taged_1746472566_kanolab_sunamelli_osawalab_mille_GAIT.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,4
taged_1746472566_kanolab_sunamelli_osawalab_mille_GAIT.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,4
taged_1746472566_kanolab_sunamelli_osawalab_mille_GAIT.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,4
taged_1746472566_kanolab_sunamelli_osawalab_mille_GAIT.log,all_feature_table_2025sp17_with_talks,mille1,WEREWOLF,4
taged_1746472566_kanolab_sunamelli_osawalab_mille_GAIT.log,all_feature_table_2025sp17_with_talks,GAIT1,POSSESSED,4
taged_1746473490_sunamelli_ai168wolf_CamelliaDragons_osawalab_GAIT.log,all_feature_table_2025sp17_with_talks,sunamelli1,POSSESSED,4
taged_1746473490_sunamelli_ai168wolf_CamelliaDragons_osawalab_GAIT.log,all_feature_table_2025sp17_with_talks,ai168wolf1,SEER,4
taged_1746473490_sunamelli_ai168wolf_CamelliaDragons_osawalab_GAIT.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,4
taged_1746473490_sunamelli_ai168wolf_CamelliaDragons_osawalab_GAIT.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,4
taged_1746473490_sunamelli_ai168wolf_CamelliaDragons_osawalab_GAIT.log,all_feature_table_2025sp17_with_talks,GAIT1,WEREWOLF,4
taged_1746474028_mille_GAIT_ai168wolf_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,ai168wolf1,SEER,2
taged_1746474028_mille_GAIT_ai168wolf_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,2
taged_1746474028_mille_GAIT_ai168wolf_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,2
taged_1746474028_mille_GAIT_ai168wolf_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,mille1,WEREWOLF,2
taged_1746474028_mille_GAIT_ai168wolf_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,GAIT1,POSSESSED,2
taged_1746474995_sunamelli_kanolab_GAIT_ai168wolf_mille.log,all_feature_table_2025sp17_with_talks,GAIT1,POSSESSED,3
taged_1746474995_sunamelli_kanolab_GAIT_ai168wolf_mille.log,all_feature_table_2025sp17_with_talks,ai168wolf1,SEER,3
taged_1746474995_sunamelli_kanolab_GAIT_ai168wolf_mille.log,all_feature_table_2025sp17_with_talks,mille1,VILLAGER,3
taged_1746474995_sunamelli_kanolab_GAIT_ai168wolf_mille.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,3
taged_1746474995_sunamelli_kanolab_GAIT_ai168wolf_mille.log,all_feature_table_2025sp17_with_talks,kanolab1,WEREWOLF,3
taged_1746475612_CamelliaDragons_mille_ai168wolf_osawalab_CanisLupus.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,POSSESSED,1
taged_1746475612_CamelliaDragons_mille_ai168wolf_osawalab_CanisLupus.log,all_feature_table_2025sp17_with_talks,mille1,SEER,1
taged_1746475612_CamelliaDragons_mille_ai168wolf_osawalab_CanisLupus.log,all_feature_table_2025sp17_with_talks,ai168wolf1,VILLAGER,1
taged_1746475612_CamelliaDragons_mille_ai168wolf_osawalab_CanisLupus.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,1
taged_1746475612_CamelliaDragons_mille_ai168wolf_osawalab_CanisLupus.log,all_feature_table_2025sp17_with_talks,CanisLupus1,WEREWOLF,1
taged_1746477395_GAIT_CamelliaDragons_ai168wolf_sunamelli_kanolab.log,all_feature_table_2025sp17_with_talks,GAIT1,POSSESSED,2
taged_1746477395_GAIT_CamelliaDragons_ai168wolf_sunamelli_kanolab.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,SEER,2
taged_1746477395_GAIT_CamelliaDragons_ai168wolf_sunamelli_kanolab.log,all_feature_table_2025sp17_with_talks,ai168wolf1,VILLAGER,2
taged_1746477395_GAIT_CamelliaDragons_ai168wolf_sunamelli_kanolab.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,2
taged_1746477395_GAIT_CamelliaDragons_ai168wolf_sunamelli_kanolab.log,all_feature_table_2025sp17_with_talks,kanolab1,WEREWOLF,2
taged_1746479855_mille_sunamelli_kanolab_GAIT_ai168wolf.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,2
taged_1746479855_mille_sunamelli_kanolab_GAIT_ai168wolf.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,2
taged_1746479855_mille_sunamelli_kanolab_GAIT_ai168wolf.log,all_feature_table_2025sp17_with_talks,GAIT1,WEREWOLF,2
taged_1746479855_mille_sunamelli_kanolab_GAIT_ai168wolf.log,all_feature_table_2025sp17_with_talks,ai168wolf1,POSSESSED,2
taged_1746479855_mille_sunamelli_kanolab_GAIT_ai168wolf.log,all_feature_table_2025sp17_with_talks,mille1,SEER,2
taged_1746480219_kanolab_mille_CanisLupus_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,kanolab1,POSSESSED,4
taged_1746480219_kanolab_mille_CanisLupus_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,mille1,SEER,4
taged_1746480219_kanolab_mille_CanisLupus_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,4
taged_1746480219_kanolab_mille_CanisLupus_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,4
taged_1746480219_kanolab_mille_CanisLupus_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,ai168wolf1,WEREWOLF,4
taged_1746482677_CamelliaDragons_mille_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,SEER,4
taged_1746482677_CamelliaDragons_mille_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,mille1,VILLAGER,4
taged_1746482677_CamelliaDragons_mille_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,4
taged_1746482677_CamelliaDragons_mille_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,4
taged_1746482677_CamelliaDragons_mille_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,CanisLupus1,POSSESSED,4
taged_1746484752_GAIT_osawalab_CamelliaDragons_ai168wolf_kanolab.log,all_feature_table_2025sp17_with_talks,GAIT1,SEER,1
